tempo,deslocamento,força
"0,0000","0,0000","0,0067"
"0,0500","0,0017","0,0072"
"0,1000","0,0080","0,0758"
"0,1500","0,0175","0,2706"
"0,2000","0,0276","0,5008"
"0,2500","0,0375","0,7304"
"0,3000","0,0472","0,9511"
"0,3500","0,0565","1,1490"
"0,4000","0,0656","1,3209"
"0,4500","0,0744","1,4905"
"0,5000","0,0832","1,6588"
"0,5500","0,0917","1,8239"
"0,6000","0,1002","1,9840"
"0,6500","0,1086","2,1386"
"0,7000","0,1169","2,2912"
"0,7500","0,1251","2,4416"
"0,8000","0,1336","2,5902"
"0,8500","0,1419","2,7403"
"0,9000","0,1503","2,8876"
"0,9500","0,1587","3,0329"
"1,0000","0,1669","3,1776"
"1,0500","0,1752","3,3206"
"1,1000","0,1836","3,4651"
"1,1500","0,1920","3,6106"
"1,2000","0,2004","3,7520"
"1,2500","0,2087","3,8951"
"1,3000","0,2169","4,0365"
"1,3500","0,2252","4,1729"
"1,4000","0,2335","4,3095"
"1,4500","0,2418","4,4481"
"1,5000","0,2502","4,5849"
"1,5500","0,2587","4,7254"
"1,6000","0,2670","4,8651"
"1,6500","0,2753","5,0011"
"1,7000","0,2837","5,1388"
"1,7500","0,2920","5,2769"
"1,8000","0,3003","5,4166"
"1,8500","0,3086","5,5569"
"1,9000","0,3169","5,6931"
"1,9500","0,3252","5,8279"
"2,0000","0,3335","5,9639"
"2,0500","0,3418","6,0984"
"2,1000","0,3501","6,2338"
"2,1500","0,3584","6,3644"
"2,2000","0,3668","6,4842"
"2,2500","0,3752","6,6047"
"2,3000","0,3834","6,7257"
"2,3500","0,3917","6,8350"
"2,4000","0,4001","6,9453"
"2,4500","0,4084","7,0510"
"2,5000","0,4167","7,1503"
"2,5500","0,4252","7,2501"
"2,6000","0,4335","7,3488"
"2,6500","0,4418","7,4400"
"2,7000","0,4502","7,5354"
"2,7500","0,4585","7,6255"
"2,8000","0,4668","7,7128"
"2,8500","0,4753","7,8065"
"2,9000","0,4836","7,8956"
"2,9500","0,4918","7,9813"
"3,0000","0,5001","8,0681"
"3,0500","0,5085","8,1514"
"3,1000","0,5169","8,2357"
"3,1500","0,5253","8,3256"
"3,2000","0,5337","8,4086"
"3,2500","0,5420","8,4930"
"3,3000","0,5503","8,5742"
"3,3500","0,5586","8,6545"
"3,4000","0,5669","8,7405"
"3,4500","0,5752","8,8256"
"3,5000","0,5836","8,9067"
"3,5500","0,5920","8,9923"
"3,6000","0,6003","9,0728"
"3,6500","0,6085","9,1529"
"3,7000","0,6170","9,2377"
"3,7500","0,6253","9,3191"
"3,8000","0,6336","9,3991"
"3,8500","0,6421","9,4817"
"3,9000","0,6503","9,5609"
"3,9500","0,6585","9,6395"
"4,0000","0,6668","9,7216"
"4,0500","0,6751","9,7982"
"4,1000","0,6835","9,8743"
"4,1500","0,6919","9,9543"
"4,2000","0,7004","10,0291"
"4,2500","0,7087","10,1030"
"4,3000","0,7170","10,1755"
"4,3500","0,7253","10,2415"
"4,4000","0,7337","10,3104"
"4,4500","0,7420","10,3784"
"4,5000","0,7504","10,4370"
"4,5500","0,7587","10,4957"
"4,6000","0,7669","10,5453"
"4,6500","0,7751","10,5823"
"4,7000","0,7835","10,6252"
"4,7500","0,7919","10,6615"
"4,8000","0,8003","10,6853"
"4,8500","0,8088","10,7058"
"4,9000","0,8171","10,7151"
"4,9500","0,8254","10,7152"
"5,0000","0,8337","10,7123"
"5,0500","0,8420","10,6996"
"5,1000","0,8503","10,6761"
"5,1500","0,8588","10,6405"
"5,2000","0,8671","10,5702"
"5,2500","0,8754","10,4890"
"5,3000","0,8837","10,4367"
"5,3500","0,8921","10,4215"
"5,4000","0,9004","10,4299"
"5,4500","0,9088","10,4443"
"5,5000","0,9172","10,4554"
"5,5500","0,9255","10,4673"
"5,6000","0,9337","10,4707"
"5,6500","0,9420","10,4635"
"5,7000","0,9503","10,4615"
"5,7500","0,9585","10,4593"
"5,8000","0,9669","10,4551"
"5,8500","0,9753","10,4552"
"5,9000","0,9836","10,4474"
"5,9500","0,9920","10,4293"
"6,0000","1,0003","10,4165"
"6,0500","1,0086","10,4042"
"6,1000","1,0170","10,3883"
"6,1500","1,0254","10,3822"
"6,2000","1,0337","10,3725"
"6,2500","1,0420","10,3653"
"6,3000","1,0503","10,3640"
"6,3500","1,0586","10,3590"
"6,4000","1,0669","10,3544"
"6,4500","1,0753","10,3533"
"6,5000","1,0838","10,3520"
"6,5500","1,0922","10,3577"
"6,6000","1,1004","10,3659"
"6,6500","1,1087","10,3751"
"6,7000","1,1170","10,3907"
"6,7500","1,1253","10,4043"
"6,8000","1,1337","10,4161"
"6,8500","1,1422","10,4320"
"6,9000","1,1504","10,4406"
"6,9500","1,1587","10,4443"
"7,0000","1,1671","10,4534"
"7,0500","1,1754","10,4603"
"7,1000","1,1837","10,4655"
"7,1500","1,1922","10,4767"
"7,2000","1,2005","10,4810"
"7,2500","1,2087","10,4838"
"7,3000","1,2171","10,4912"
"7,3500","1,2253","10,4981"
"7,4000","1,2337","10,5055"
"7,4500","1,2421","10,5162"
"7,5000","1,2504","10,5194"
"7,5500","1,2587","10,5231"
"7,6000","1,2671","10,5309"
"7,6500","1,2754","10,5356"
"7,7000","1,2837","10,5440"
"7,7500","1,2920","10,5498"
"7,8000","1,3004","10,5517"
"7,8500","1,3087","10,5587"
"7,9000","1,3169","10,5620"
"7,9500","1,3252","10,5615"
"8,0000","1,3337","10,5649"
"8,0500","1,3420","10,5633"
"8,1000","1,3504","10,5602"
"8,1500","1,3589","10,5659"
"8,2000","1,3671","10,5678"
"8,2500","1,3753","10,5679"
"8,3000","1,3836","10,5725"
"8,3500","1,3919","10,5737"
"8,4000","1,4004","10,5741"
"8,4500","1,4088","10,5741"
"8,5000","1,4170","10,5711"
"8,5500","1,4254","10,5634"
"8,6000","1,4337","10,5612"
"8,6500","1,4420","10,5582"
"8,7000","1,4504","10,5586"
"8,7500","1,4588","10,5655"
"8,8000","1,4671","10,5669"
"8,8500","1,4754","10,5729"
"8,9000","1,4837","10,5788"
"8,9500","1,4920","10,5807"
"9,0000","1,5004","10,5877"
"9,0500","1,5087","10,5937"
"9,1000","1,5171","10,5958"
"9,1500","1,5256","10,6046"
"9,2000","1,5338","10,6063"
