Input: [0.230320, -0.459905], Expected: 1.000000, Predicted: 1
Input: [0.078039, -0.571100], Expected: 1.000000, Predicted: 1
Input: [0.225463, -0.377734], Expected: 1.000000, Predicted: 1
Input: [-0.945004, 0.139859], Expected: 0.000000, Predicted: 1
Input: [0.267622, -0.966250], Expected: 0.000000, Predicted: 1
Input: [-0.523710, 0.946698], Expected: 0.000000, Predicted: 1
Input: [0.910570, 0.503342], Expected: 0.000000, Predicted: 1
Input: [0.413007, 0.351555], Expected: 1.000000, Predicted: 1
Input: [0.895657, -0.527522], Expected: 0.000000, Predicted: 1
Input: [0.430735, -0.889761], Expected: 0.000000, Predicted: 1
Input: [0.105848, -0.455122], Expected: 1.000000, Predicted: 1
Input: [0.162380, -0.482004], Expected: 1.000000, Predicted: 1
Input: [0.683970, -0.565207], Expected: 0.000000, Predicted: 1
Input: [0.920610, 0.474900], Expected: 0.000000, Predicted: 1
Input: [0.694554, 0.620425], Expected: 0.000000, Predicted: 1
Input: [-0.868664, -0.469104], Expected: 0.000000, Predicted: 1
Input: [-0.075268, -0.467757], Expected: 1.000000, Predicted: 1
Input: [-0.184798, 0.504709], Expected: 1.000000, Predicted: 1
Input: [0.467684, 0.793072], Expected: 0.000000, Predicted: 1
Input: [-0.187691, -0.962131], Expected: 0.000000, Predicted: 1
Input: [0.056134, -0.572060], Expected: 1.000000, Predicted: 1
Input: [-0.274059, 0.418399], Expected: 1.000000, Predicted: 1
Input: [-0.295939, -0.413770], Expected: 1.000000, Predicted: 1
Input: [0.278245, -0.452688], Expected: 1.000000, Predicted: 1
Input: [-0.581792, -0.744937], Expected: 0.000000, Predicted: 1
Input: [-0.990917, -0.272473], Expected: 0.000000, Predicted: 1
Input: [0.411639, 0.184938], Expected: 1.000000, Predicted: 1
Input: [-1.071704, -0.009577], Expected: 0.000000, Predicted: 1
Input: [0.487165, -0.238485], Expected: 1.000000, Predicted: 1
Input: [-0.881404, -0.479647], Expected: 0.000000, Predicted: 1
Input: [-0.966385, 0.185565], Expected: 0.000000, Predicted: 1
Input: [0.771536, -0.715565], Expected: 0.000000, Predicted: 1
Input: [0.211869, 0.997558], Expected: 0.000000, Predicted: 1
Input: [-0.932191, -0.487182], Expected: 0.000000, Predicted: 1
Input: [-0.285801, -0.309429], Expected: 1.000000, Predicted: 1
Input: [0.406827, -0.350483], Expected: 1.000000, Predicted: 1
Input: [-0.081775, 0.434895], Expected: 1.000000, Predicted: 1
Input: [-0.683116, 0.777400], Expected: 0.000000, Predicted: 1
Input: [-0.501027, -0.208916], Expected: 1.000000, Predicted: 1
Input: [0.528603, -0.335727], Expected: 1.000000, Predicted: 1
Input: [0.957501, 0.017563], Expected: 0.000000, Predicted: 1
Input: [-1.001460, -0.127723], Expected: 0.000000, Predicted: 1
Input: [-0.552077, -0.001323], Expected: 1.000000, Predicted: 1
Input: [-0.193170, 0.457989], Expected: 1.000000, Predicted: 1
Input: [-0.488102, 0.014133], Expected: 1.000000, Predicted: 1
Input: [0.543910, 0.126372], Expected: 1.000000, Predicted: 1
Input: [0.954328, -0.062955], Expected: 0.000000, Predicted: 1
Input: [0.386630, 0.472891], Expected: 1.000000, Predicted: 1
Input: [0.662522, -0.649867], Expected: 0.000000, Predicted: 1
Input: [-0.082194, -1.031447], Expected: 0.000000, Predicted: 1
Input: [0.194132, 0.418809], Expected: 1.000000, Predicted: 1
Input: [0.403324, 0.015669], Expected: 1.000000, Predicted: 1
Input: [0.310402, 0.957425], Expected: 0.000000, Predicted: 1
Input: [0.346413, -0.354198], Expected: 1.000000, Predicted: 1
Input: [-0.271595, -0.999883], Expected: 0.000000, Predicted: 1
Input: [0.445793, 0.163390], Expected: 1.000000, Predicted: 1
Input: [0.595995, 0.743255], Expected: 0.000000, Predicted: 1
Input: [0.751169, -0.447522], Expected: 0.000000, Predicted: 1
Input: [0.143858, -0.488537], Expected: 1.000000, Predicted: 1
Input: [0.507924, 0.076345], Expected: 1.000000, Predicted: 1
