Epoch 1: Weights: [0.013112, 0.000527], Bias: 0.000000
Epoch 2: Weights: [0.009654, 0.000327], Bias: 0.000500
Epoch 3: Weights: [0.006200, 0.000132], Bias: 0.000700
Epoch 4: Weights: [0.002753, 0.000035], Bias: 0.000700
Epoch 5: Weights: [0.000038, 0.000059], Bias: 0.000100
Epoch 6: Weights: [0.000017, -0.000041], Bias: 0.000100
Epoch 7: Weights: [0.000006, -0.000038], Bias: 0.000100
Epoch 8: Weights: [0.000025, -0.000040], Bias: 0.000100
Epoch 9: Weights: [0.000018, 0.000053], Bias: 0.000100
Epoch 10: Weights: [-0.000003, 0.000011], Bias: 0.000100
Epoch 11: Weights: [0.000030, -0.000044], Bias: 0.000100
Epoch 12: Weights: [0.000004, -0.000071], Bias: 0.000100
Epoch 13: Weights: [-0.000037, -0.000038], Bias: 0.000100
Epoch 14: Weights: [0.000031, -0.000051], Bias: 0.000100
Epoch 15: Weights: [0.000002, -0.000039], Bias: 0.000100
Epoch 16: Weights: [0.000019, 0.000051], Bias: 0.000100
Epoch 17: Weights: [-0.000001, -0.000021], Bias: 0.000100
Epoch 18: Weights: [-0.000005, -0.000096], Bias: 0.000100
Epoch 19: Weights: [0.000004, -0.000061], Bias: 0.000100
Epoch 20: Weights: [0.000033, -0.000006], Bias: 0.000100
Epoch 21: Weights: [0.000034, -0.000058], Bias: 0.000100
Epoch 22: Weights: [-0.000003, -0.000087], Bias: 0.000100
Epoch 23: Weights: [0.000003, 0.000030], Bias: 0.000100
Epoch 24: Weights: [-0.000042, -0.000041], Bias: 0.000100
Epoch 25: Weights: [0.000026, -0.000054], Bias: 0.000100
Epoch 26: Weights: [-0.000014, -0.000032], Bias: 0.000100
Epoch 27: Weights: [0.000024, -0.000036], Bias: 0.000100
Epoch 28: Weights: [-0.000021, -0.000029], Bias: 0.000100
Epoch 29: Weights: [0.000018, -0.000033], Bias: 0.000100
Epoch 30: Weights: [-0.000005, -0.000006], Bias: 0.000100
Epoch 31: Weights: [0.000023, -0.000093], Bias: 0.000100
Epoch 32: Weights: [-0.000023, -0.000014], Bias: 0.000100
Epoch 33: Weights: [0.000023, -0.000096], Bias: 0.000100
Epoch 34: Weights: [-0.000030, -0.000039], Bias: 0.000100
Epoch 35: Weights: [0.000032, -0.000055], Bias: 0.000100
Epoch 36: Weights: [0.000021, -0.000062], Bias: 0.000100
Epoch 37: Weights: [-0.000032, -0.000037], Bias: 0.000100
