Input: [-0.216613, 1.317554], Expected: 0.000000, Predicted: 0
Input: [-0.189056, 2.737627], Expected: 0.000000, Predicted: 0
Input: [0.590995, 1.478732], Expected: 1.000000, Predicted: 1
Input: [-0.267894, 1.730207], Expected: 0.000000, Predicted: 0
Input: [0.247281, 1.117718], Expected: 1.000000, Predicted: 0
Input: [-0.451304, 0.936082], Expected: 0.000000, Predicted: 0
Input: [-0.706606, 0.306780], Expected: 0.000000, Predicted: 0
Input: [1.492256, 1.944778], Expected: 1.000000, Predicted: 1
Input: [1.616523, 2.039851], Expected: 1.000000, Predicted: 1
Input: [2.360845, 1.549198], Expected: 1.000000, Predicted: 1
Input: [0.371559, 1.039403], Expected: 1.000000, Predicted: 1
Input: [0.761947, 1.426120], Expected: 1.000000, Predicted: 1
Input: [-1.767973, -0.548710], Expected: 0.000000, Predicted: 0
Input: [2.109435, 0.532278], Expected: 1.000000, Predicted: 1
Input: [2.089447, 1.437840], Expected: 1.000000, Predicted: 1
Input: [-0.711213, 0.945517], Expected: 1.000000, Predicted: 0
Input: [0.043468, 0.586763], Expected: 1.000000, Predicted: 1
Input: [-1.477239, 1.877545], Expected: 0.000000, Predicted: 0
Input: [0.376775, 0.676566], Expected: 1.000000, Predicted: 1
Input: [-1.080288, 0.396496], Expected: 0.000000, Predicted: 0
Input: [-2.641687, 2.043461], Expected: 0.000000, Predicted: 0
Input: [0.038903, 0.898433], Expected: 0.000000, Predicted: 0
Input: [-0.918098, 1.484718], Expected: 0.000000, Predicted: 0
Input: [1.170596, 1.052511], Expected: 1.000000, Predicted: 1
Input: [0.514408, 1.473219], Expected: 1.000000, Predicted: 1
Input: [2.940229, 0.783764], Expected: 1.000000, Predicted: 1
Input: [-1.464352, 0.964657], Expected: 0.000000, Predicted: 0
Input: [0.856967, 1.580953], Expected: 1.000000, Predicted: 1
Input: [2.157956, 2.077880], Expected: 1.000000, Predicted: 1
Input: [1.574897, 2.453261], Expected: 1.000000, Predicted: 1
Input: [-0.508096, 2.150439], Expected: 0.000000, Predicted: 0
Input: [2.507997, 1.541027], Expected: 1.000000, Predicted: 1
Input: [1.014044, 0.096212], Expected: 1.000000, Predicted: 1
Input: [0.493023, 2.612321], Expected: 0.000000, Predicted: 0
Input: [-0.796665, 0.108775], Expected: 0.000000, Predicted: 0
Input: [1.859121, 0.370156], Expected: 1.000000, Predicted: 1
Input: [0.585710, 2.078390], Expected: 0.000000, Predicted: 0
Input: [0.833251, 1.489549], Expected: 1.000000, Predicted: 1
Input: [0.873926, 2.912831], Expected: 1.000000, Predicted: 0
Input: [0.526882, 1.400472], Expected: 1.000000, Predicted: 1
Input: [1.669655, 1.218149], Expected: 1.000000, Predicted: 1
Input: [0.572268, 1.700438], Expected: 1.000000, Predicted: 0
Input: [-2.764266, 2.750348], Expected: 0.000000, Predicted: 0
Input: [0.728056, 0.938013], Expected: 1.000000, Predicted: 1
Input: [2.150820, 1.066360], Expected: 1.000000, Predicted: 1
Input: [1.365736, 2.000214], Expected: 1.000000, Predicted: 1
Input: [-0.675538, -0.088519], Expected: 0.000000, Predicted: 0
Input: [-0.129749, 1.920515], Expected: 0.000000, Predicted: 0
Input: [-1.112522, 1.711426], Expected: 0.000000, Predicted: 0
Input: [0.910999, 0.843082], Expected: 1.000000, Predicted: 1
Input: [0.441384, 2.004838], Expected: 1.000000, Predicted: 0
Input: [1.075518, 0.763881], Expected: 1.000000, Predicted: 1
Input: [-1.072175, 3.148167], Expected: 0.000000, Predicted: 0
Input: [-0.849626, 0.470338], Expected: 0.000000, Predicted: 0
Input: [3.784256, 4.504427], Expected: 1.000000, Predicted: 1
Input: [-2.525239, -0.719512], Expected: 0.000000, Predicted: 0
Input: [-0.941314, 2.170952], Expected: 0.000000, Predicted: 0
Input: [-0.781615, 1.396672], Expected: 0.000000, Predicted: 0
Input: [1.071664, 2.153808], Expected: 1.000000, Predicted: 1
Input: [0.737104, 3.725581], Expected: 0.000000, Predicted: 0
