tempo,deslocamento,força
"0,0000","0,0000","0,0100"
"0,0500","0,0019","0,0083"
"0,1000","0,0084","0,0105"
"0,1500","0,0178","0,0193"
"0,2000","0,0277","0,0286"
"0,2500","0,0377","0,0376"
"0,3000","0,0474","0,0455"
"0,3500","0,0567","0,0527"
"0,4000","0,0657","0,0604"
"0,4500","0,0745","0,0689"
"0,5000","0,0832","0,0773"
"0,5500","0,0917","0,0849"
"0,6000","0,1002","0,0910"
"0,6500","0,1086","0,0969"
"0,7000","0,1170","0,1047"
"0,7500","0,1254","0,1130"
"0,8000","0,1337","0,1209"
"0,8500","0,1421","0,1274"
"0,9000","0,1505","0,1330"
"0,9500","0,1588","0,1395"
"1,0000","0,1671","0,1476"
"1,0500","0,1754","0,1554"
"1,1000","0,1837","0,1632"
"1,1500","0,1920","0,1690"
"1,2000","0,2004","0,1750"
"1,2500","0,2087","0,1814"
"1,3000","0,2171","0,1892"
"1,3500","0,2255","0,1969"
"1,4000","0,2338","0,2043"
"1,4500","0,2421","0,2109"
"1,5000","0,2505","0,2161"
"1,5500","0,2588","0,2237"
"1,6000","0,2671","0,2310"
"1,6500","0,2754","0,2387"
"1,7000","0,2837","0,2458"
"1,7500","0,2921","0,2515"
"1,8000","0,3004","0,2574"
"1,8500","0,3088","0,2643"
"1,9000","0,3171","0,2726"
"1,9500","0,3255","0,2797"
"2,0000","0,3337","0,2865"
"2,0500","0,3421","0,2925"
"2,1000","0,3504","0,2979"
"2,1500","0,3587","0,3056"
"2,2000","0,3670","0,3130"
"2,2500","0,3753","0,3202"
"2,3000","0,3837","0,3271"
"2,3500","0,3920","0,3322"
"2,4000","0,4004","0,3385"
"2,4500","0,4087","0,3455"
"2,5000","0,4172","0,3532"
"2,5500","0,4255","0,3605"
"2,6000","0,4338","0,3668"
"2,6500","0,4420","0,3723"
"2,7000","0,4503","0,3784"
"2,7500","0,4587","0,3865"
"2,8000","0,4671","0,3933"
"2,8500","0,4754","0,4008"
"2,9000","0,4838","0,4063"
"2,9500","0,4920","0,4114"
"3,0000","0,5003","0,4183"
"3,0500","0,5087","0,4255"
"3,1000","0,5170","0,4323"
"3,1500","0,5253","0,4389"
"3,2000","0,5337","0,4438"
"3,2500","0,5419","0,4486"
"3,3000","0,5502","0,4551"
"3,3500","0,5586","0,4625"
"3,4000","0,5669","0,4693"
"3,4500","0,5753","0,4765"
"3,5000","0,5837","0,4810"
"3,5500","0,5920","0,4863"
"3,6000","0,6003","0,4930"
"3,6500","0,6087","0,5004"
"3,7000","0,6170","0,5068"
"3,7500","0,6253","0,5133"
"3,8000","0,6336","0,5180"
"3,8500","0,6420","0,5233"
"3,9000","0,6504","0,5306"
"3,9500","0,6587","0,5374"
"4,0000","0,6670","0,5445"
"4,0500","0,6754","0,5504"
"4,1000","0,6837","0,5550"
"4,1500","0,6920","0,5606"
"4,2000","0,7004","0,5676"
"4,2500","0,7087","0,5751"
"4,3000","0,7170","0,5812"
"4,3500","0,7254","0,5870"
"4,4000","0,7337","0,5920"
"4,4500","0,7421","0,5978"
"4,5000","0,7505","0,6043"
"4,5500","0,7587","0,6114"
"4,6000","0,7671","0,6181"
"4,6500","0,7754","0,6231"
"4,7000","0,7835","0,6282"
"4,7500","0,7920","0,6347"
"4,8000","0,8003","0,6416"
"4,8500","0,8087","0,6479"
"4,9000","0,8170","0,6542"
"4,9500","0,8253","0,6591"
"5,0000","0,8336","0,6645"
"5,0500","0,8420","0,6710"
"5,1000","0,8504","0,6779"
"5,1500","0,8588","0,6848"
"5,2000","0,8672","0,6901"
"5,2500","0,8754","0,6944"
"5,3000","0,8837","0,6998"
"5,3500","0,8921","0,7066"
"5,4000","0,9003","0,7134"
"5,4500","0,9087","0,7204"
"5,5000","0,9171","0,7253"
"5,5500","0,9254","0,7298"
"5,6000","0,9337","0,7354"
"5,6500","0,9422","0,7422"
"5,7000","0,9504","0,7488"
"5,7500","0,9588","0,7551"
"5,8000","0,9671","0,7605"
"5,8500","0,9753","0,7642"
"5,9000","0,9837","0,7702"
"5,9500","0,9920","0,7773"
"6,0000","1,0002","0,7838"
"6,0500","1,0086","0,7894"
"6,1000","1,0170","0,7946"
"6,1500","1,0253","0,7993"
"6,2000","1,0336","0,8051"
"6,2500","1,0419","0,8118"
"6,3000","1,0503","0,8185"
"6,3500","1,0586","0,8243"
"6,4000","1,0669","0,8293"
"6,4500","1,0753","0,8336"
"6,5000","1,0837","0,8396"
"6,5500","1,0919","0,8462"
"6,6000","1,1002","0,8529"
"6,6500","1,1086","0,8586"
"6,7000","1,1169","0,8629"
"6,7500","1,1253","0,8673"
"6,8000","1,1337","0,8737"
"6,8500","1,1420","0,8806"
"6,9000","1,1503","0,8868"
"6,9500","1,1587","0,8922"
"7,0000","1,1670","0,8965"
"7,0500","1,1753","0,9019"
"7,1000","1,1837","0,9077"
"7,1500","1,1921","0,9144"
"7,2000","1,2004","0,9209"
"7,2500","1,2087","0,9259"
"7,3000","1,2170","0,9300"
"7,3500","1,2254","0,9348"
"7,4000","1,2336","0,9413"
"7,4500","1,2420","0,9479"
"7,5000","1,2504","0,9535"
"7,5500","1,2586","0,9589"
"7,6000","1,2669","0,9633"
"7,6500","1,2754","0,9681"
"7,7000","1,2837","0,9745"
"7,7500","1,2920","0,9809"
"7,8000","1,3005","0,9865"
"7,8500","1,3087","0,9915"
"7,9000","1,3170","0,9956"
"7,9500","1,3253","1,0008"
"8,0000","1,3336","1,0077"
"8,0500","1,3419","1,0138"
"8,1000","1,3503","1,0191"
"8,1500","1,3587","1,0241"
"8,2000","1,3671","1,0282"
"8,2500","1,3754","1,0335"
"8,3000","1,3838","1,0399"
"8,3500","1,3921","1,0463"
"8,4000","1,4005","1,0515"
"8,4500","1,4088","1,0556"
"8,5000","1,4171","1,0599"
"8,5500","1,4253","1,0657"
"8,6000","1,4336","1,0723"
"8,6500","1,4419","1,0786"
"8,7000","1,4503","1,0834"
"8,7500","1,4587","1,0873"
"8,8000","1,4671","1,0922"
"8,8500","1,4754","1,0980"
"8,9000","1,4837","1,1041"
"8,9500","1,4920","1,1096"
"9,0000","1,5003","1,1148"
"9,0500","1,5087","1,1183"
"9,1000","1,5171","1,1234"
"9,1500","1,5253","1,1290"
"9,2000","1,5337","1,1354"
"9,2500","1,5420","1,1407"
"9,3000","1,5503","1,1454"
"9,3500","1,5587","1,1496"
"9,4000","1,5670","1,1542"
"9,4500","1,5755","1,1606"
"9,5000","1,5838","1,1663"
"9,5500","1,5920","1,1715"
"9,6000","1,6003","1,1756"
"9,6500","1,6087","1,1797"
"9,7000","1,6169","1,1854"
"9,7500","1,6253","1,1920"
"9,8000","1,6337","1,1968"
"9,8500","1,6419","1,2020"
"9,9000","1,6503","1,2059"
"9,9500","1,6587","1,2109"
"10,0000","1,6670","1,2163"
"10,0500","1,6753","1,2226"
"10,1000","1,6837","1,2277"
"10,1500","1,6919","1,2319"
"10,2000","1,7002","1,2355"
"10,2500","1,7085","1,2409"
"10,3000","1,7169","1,2468"
"10,3500","1,7252","1,2528"
"10,4000","1,7336","1,2572"
"10,4500","1,7420","1,2607"
"10,5000","1,7505","1,2657"
"10,5500","1,7587","1,2711"
"10,6000","1,7670","1,2772"
"10,6500","1,7753","1,2828"
"10,7000","1,7836","1,2866"
"10,7500","1,7920","1,2903"
"10,8000","1,8004","1,2958"
"10,8500","1,8088","1,3015"
"10,9000","1,8171","1,3068"
"10,9500","1,8256","1,3122"
"11,0000","1,8337","1,3154"
"11,0500","1,8421","1,3195"
"11,1000","1,8505","1,3252"
"11,1500","1,8587","1,3309"
"11,2000","1,8670","1,3361"
"11,2500","1,8754","1,3404"
"11,3000","1,8837","1,3440"
"11,3500","1,8920","1,3491"
"11,4000","1,9004","1,3547"
"11,4500","1,9087","1,3602"
"11,5000","1,9170","1,3650"
"11,5500","1,9253","1,3688"
"11,6000","1,9337","1,3717"
"11,6500","1,9420","1,3776"
"11,7000","1,9503","1,3832"
"11,7500","1,9586","1,3884"
"11,8000","1,9670","1,3924"
"11,8500","1,9752","1,3957"
"11,9000","1,9836","1,4006"
"11,9500","1,9920","1,4058"
"12,0000","2,0003","1,4120"
"12,0500","2,0087","1,4164"
"12,1000","2,0172","1,4197"
"12,1500","2,0254","1,4234"
"12,2000","2,0337","1,4291"
"12,2500","2,0420","1,4341"
"12,3000","2,0502","1,4397"
"12,3500","2,0587","1,4438"
"12,4000","2,0670","1,4470"
"12,4500","2,0753","1,4508"
"12,5000","2,0837","1,4563"
"12,5500","2,0920","1,4615"
"12,6000","2,1003","1,4670"
"12,6500","2,1087","1,4702"
"12,7000","2,1171","1,4728"
"12,7500","2,1254","1,4786"
"12,8000","2,1337","1,4838"
"12,8500","2,1420","1,4884"
"12,9000","2,1503","1,4928"
"12,9500","2,1587","1,4958"
"13,0000","2,1670","1,4993"
"13,0500","2,1754","1,5048"
"13,1000","2,1838","1,5102"
"13,1500","2,1921","1,5152"
"13,2000","2,2004","1,5186"
"13,2500","2,2087","1,5216"
"13,3000","2,2170","1,5261"
"13,3500","2,2253","1,5312"
"13,4000","2,2337","1,5365"
"13,4500","2,2420","1,5409"
"13,5000","2,2503","1,5438"
"13,5500","2,2587","1,5472"
"13,6000","2,2670","1,5525"
"13,6500","2,2753","1,5571"
"13,7000","2,2837","1,5621"
"13,7500","2,2920","1,5664"
"13,8000","2,3003","1,5689"
"13,8500","2,3085","1,5726"
"13,9000","2,3168","1,5772"
"13,9500","2,3252","1,5828"
"14,0000","2,3336","1,5875"
"14,0500","2,3420","1,5913"
"14,1000","2,3504","1,5934"
"14,1500","2,3587","1,5974"
"14,2000","2,3670","1,6026"
"14,2500","2,3754","1,6077"
"14,3000","2,3837","1,6118"
"14,3500","2,3921","1,6149"
"14,4000","2,4004","1,6180"
"14,4500","2,4087","1,6223"
"14,5000","2,4170","1,6273"
"14,5500","2,4254","1,6318"
"14,6000","2,4337","1,6356"
"14,6500","2,4420","1,6381"
"14,7000","2,4505","1,6418"
"14,7500","2,4588","1,6466"
"14,8000","2,4670","1,6516"
"14,8500","2,4754","1,6555"
"14,9000","2,4837","1,6593"
"14,9500","2,4920","1,6619"
"15,0000","2,5004","1,6655"
"15,0500","2,5087","1,6704"
"15,1000","2,5170","1,6749"
"15,1500","2,5253","1,6791"
"15,2000","2,5336","1,6820"
"15,2500","2,5420","1,6852"
"15,3000","2,5503","1,6891"
"15,3500","2,5587","1,6935"
"15,4000","2,5670","1,6983"
"15,4500","2,5753","1,7014"
"15,5000","2,5836","1,7039"
"15,5500","2,5920","1,7074"
"15,6000","2,6003","1,7114"
"15,6500","2,6087","1,7161"
"15,7000","2,6172","1,7208"
"15,7500","2,6254","1,7235"
"15,8000","2,6338","1,7260"
"15,8500","2,6422","1,7294"
"15,9000","2,6504","1,7335"
"15,9500","2,6587","1,7379"
"16,0000","2,6670","1,7418"
"16,0500","2,6752","1,7451"
"16,1000","2,6837","1,7471"
"16,1500","2,6920","1,7506"
"16,2000","2,7003","1,7554"
"16,2500","2,7087","1,7594"
"16,3000","2,7171","1,7629"
"16,3500","2,7254","1,7656"
"16,4000","2,7338","1,7679"
"16,4500","2,7420","1,7717"
"16,5000","2,7504","1,7762"
"16,5500","2,7587","1,7795"
"16,6000","2,7669","1,7828"
"16,6500","2,7752","1,7853"
"16,7000","2,7837","1,7879"
"16,7500","2,7920","1,7919"
"16,8000","2,8003","1,7962"
"16,8500","2,8087","1,7997"
"16,9000","2,8172","1,8019"
"16,9500","2,8255","1,8041"
