
[=] -----+-----+-------------------------------------------------+-----------------
[=]  sec | blk | data                                            | ascii
[=] -----+-----+-------------------------------------------------+-----------------
[=]    0 |   0 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |   1 | 7F FF FF 7F 80 00 00 80 7F FF FF 7F 00 FF 00 FF | ................
[=]      |   2 | 80 FF FF 7F 7F 00 00 80 80 FF FF 7F 00 FF 00 FF | ................
[=]      |   3 | 7B 29 6F 35 3C 6B E6 98 71 CB 4A 68 DC D9 C7 DA | {)o5<k..q.Jh....
[=]    1 |   4 | F1 FF 02 00 00 00 EC 7B 00 00 00 00 00 00 00 00 | .......{........
[=]      |   5 | 00 00 00 00 00 00 00 00 00 00 C0 08 28 D0 80 42 | ............(..B
[=]      |   6 | 3C 9F E7 09 00 00 00 00 00 00 58 30 88 EE AF 97 | <.........X0....
[=]      |   7 | 3F A7 21 7E C5 75 78 77 88 CB 62 69 E9 49 3D A6 | ?.!~.uxw..bi.I=.
[=]    2 |   8 | 01 FB F8 BD 81 78 C7 2D 60 A0 12 A0 12 00 7E 6F | .....x.-`.....~o
[=]      |   9 | 20 FB F0 00 80 89 00 00 00 00 86 FF FF FF FF FF |  ...............
[=]      |  10 | FF FF FF FF FF FF FF FF FF FF 8D F3 28 74 E1 A7 | ............(t..
[=]      |  11 | 3F A7 21 7E C5 75 78 77 88 CB F7 9D 57 5B CE 3A | ?.!~.uxw....W[.:
[=]    3 |  12 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  13 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  14 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  15 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]    4 |  16 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  17 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  18 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  19 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]    5 |  20 | 11 00 00 00 00 00 00 00 00 50 F2 B2 29 00 00 E0 | .........P..)...
[=]      |  21 | 84 89 00 02 82 0F 00 2A 00 00 52 00 00 00 00 00 | .......*..R.....
[=]      |  22 | 0C C2 00 DC 0B 79 00 00 00 00 00 A7 D5 5C 6F 19 | .....y.......\o.
[=]      |  23 | 34 07 ED 5B 56 4D 78 77 88 CB 3B 55 05 E1 D6 4E | 4..[VMxw..;U...N
[=]    6 |  24 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  25 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  26 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  27 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]    7 |  28 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  29 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  30 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  31 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]    8 |  32 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  33 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  34 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  35 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]    9 |  36 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  37 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  38 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  39 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]   10 |  40 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  41 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  42 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  43 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]   11 |  44 | 01 FB F8 BD 81 78 C7 2D 60 A0 12 A0 12 00 7E 6F | .....x.-`.....~o
[=]      |  45 | 20 FB F0 00 80 89 00 00 00 00 87 FF FF FF FF FF |  ...............
[=]      |  46 | FF FF FF FF FF FF FF FF FF FF CD E3 78 AA E6 FD | ............x...
[=]      |  47 | 3F A7 21 7E C5 75 78 77 88 CB F7 9D 57 5B CE 3A | ?.!~.uxw....W[.:
[=]   12 |  48 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  49 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  50 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  51 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]   13 |  52 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  53 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  54 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  55 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]   14 |  56 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  57 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  58 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | ................
[=]      |  59 | 0F 0F 0F 0F 0F 0F 78 77 88 CB 0F 0F 0F 0F 0F 0F | ......xw........
[=]   15 |  60 | 11 00 00 00 00 00 00 00 00 50 F2 B2 29 00 00 E0 | .........P..)...
[=]      |  61 | 83 89 00 02 61 0F 00 2A 00 00 50 00 00 00 00 00 | ....a..*..P.....
[=]      |  62 | C0 BD 00 DC 0B 78 00 00 00 00 00 5D FE F3 40 76 | .....x.....]..@v
[=]      |  63 | 34 07 ED 5B 56 4D 78 77 88 CB 3B 55 05 E1 D6 4E | 4..[VMxw..;U...N
[=] -----+-----+-------------------------------------------------+-----------------

[=]   0 | 2D 37 6B C4 B5 08 04 00 62 63 64 65 66 67 68 69 | -7k.....bcdefghi




